Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,,Month,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Domain Name,,,,,,,,,,,,,
,Product Categories,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Organic Traffic,,500,650,845,1098.5,1428.05,1856.465,2413.4045,3137.42585,4078.6536050000004,5302.2496865,6892.924592450001,8960.801970185
,Paid Traffic,,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750
,Total Traffic,,1500,1900,2345,2848.5,3428.05,4106.465,4913.404500000001,5887.42585,7078.653605,8552.2496865,10392.924592450001,12710.801970185
,,,,,,,,,,,,,,
,Conversion Rate,,0.02,0.021,0.022000000000000002,0.023000000000000003,0.024000000000000004,0.025000000000000005,0.026000000000000006,0.027000000000000007,0.028000000000000008,0.02900000000000001,0.03000000000000001,0.03100000000000001
,,,,,,,,,,,,,,
,Orders,,30,39.900000000000006,51.59,65.5155,82.27320000000002,102.66162500000003,127.74851700000005,158.96049795000002,198.20230094000007,248.01524090850006,311.7877377735001,394.03486107573514
,,,,,,,,,,,,,,
,AOV,,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,,,
,Cost per Click,,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,,
,Revenue,,3000,3990.0000000000005,5159,6551.55,8227.320000000002,10266.162500000002,12774.851700000005,15896.049795000003,19820.230094000006,24801.524090850005,31178.773777350012,39403.48610757352
,,,,,,,,,,,,,,
,Gross Profit,,1200,1596.0000000000002,2063.6,2620.6200000000003,3290.928000000001,4106.465000000001,5109.940680000002,6358.419918000001,7928.092037600003,9920.609636340003,12471.509510940006,15761.394443029407
,Gross Margin%,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,,,,,,,,,,,,,,
,Distribution Costs,,-600,-798.0000000000001,-1031.8,-1310.3100000000002,-1645.4640000000004,-2053.2325000000005,-2554.970340000001,-3179.2099590000007,-3964.0460188000015,-4960.304818170001,-6235.754755470003,-7880.697221514703
,Distribution%,,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
,,,,,,,,,,,,,,
,Paid Spend,,-2000,-2500,-3000,-3500,-4000,-4500,-5000,-5500,-6000,-6500,-7000,-7500
,Marketing,,,,,,,,,,,,,
,Total Marketing Cost,,-2000,-2500,-3000,-3500,-4000,-4500,-5000,-5500,-6000,-6500,-7000,-7500
,,,,,,,,,,,,,,
,Contribution,,-1400,-1702,-1968.2,-2189.6899999999996,-2354.5359999999996,-2446.7674999999995,-2445.029659999999,-2320.7900409999993,-2035.9539811999985,-1539.6951818299985,-764.2452445299969,380.6972215147034
