Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,PORTFOLIO CONSOLIDATED VIEW,,,,,,,,,,,,
,Aggregated 12-Month Projection for All 5 Sites | Currency: GBP (£),,,,,,,,,,,,
,,,,,,,,,,,,,
,METRIC,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
,,,,,,,,,,,,,
,SITE SUMMARY,,,,,,,,,,,,
,GTSE.co.uk Revenue (£),,,,,,,,,,,,
,GTSEGroup.com Revenue (£),,,,,,,,,,,,
,SSH UK Revenue (£),,,,,,,,,,,,
,SSH USA Revenue (£),,,,,,,,,,,,
,Epha.com Revenue (£),,,,,,,,,,,,
,TOTAL REVENUE (£),,,,,,,,,,,,
,,,,,,,,,,,,,
,TRAFFIC (All Sites),,,,,,,,,,,,
,Total Traffic (All Sites),,,,,,,,,,,,
,Total Orders (All Sites),,,,,,,,,,,,
,Portfolio Conversion Rate,,,,,,,,,,,,
,,,,,,,,,,,,,
,COSTS (All Sites),,,,,,,,,,,,
,Gross Profit (£),,,,,,,,,,,,
,Total Marketing (£),,,,,,,,,,,,
,Total Operational (£),,,,,,,,,,,,
,,,,,,,,,,,,,
,PROFITABILITY,,,,,,,,,,,,
,TOTAL CONTRIBUTION (£),,,,,,,,,,,,
,Cumulative Contribution (£),,,,,,,,,,,,
,,,,,,,,,,,,,
,PORTFOLIO KPIs,,,,,,,,,,,,
,Portfolio ROAS,,,,,,,,,,,,
,Portfolio CAC (£),,,,,,,,,,,,
,Revenue per Visitor (£),,,,,,,,,,,,
,,,,,,,,,,,,,
,12-MONTH TOTALS,,,,,,,,,,,,
,Total Revenue,,,,,,,,,,,,
,Total Orders,,,,,,,,,,,,
,Total Gross Profit,,,,,,,,,,,,
,Total Marketing Spend,,,,,,,,,,,,
,Total Contribution,,,,,,,,,,,,
